URI,HW3 Mementos,Current Mementos,Difference,HW3 File,Current File
https://www.leapsome.com/,12,1195,1183,timemap_18.json.gz,timemap_a2b1175d6a37043869f6f680e1fedda0.json.gz
https://www.odu.edu/set/studentorgs,73,76,3,timemap_180.json.gz,timemap_45829ca14b30e68faa898d54fc4bbaa9.json.gz
https://www.odu.edu/academics/calendar,267,280,13,timemap_181.json.gz,timemap_11bcabd5490943d837a1ea692cc6aa57.json.gz
https://www.odu.edu/nrotc,156,163,7,timemap_182.json.gz,timemap_5dcd64ea344c24e3b2c0002fb86d0d1b.json.gz
https://www.odu.edu/military/veterans-services,18,70,52,timemap_183.json.gz,timemap_be7e9b0dbfbdc9603a6286e54b6ec4a7.json.gz
https://www.odu.edu/life/sports-recreation,19,95,76,timemap_184.json.gz,timemap_855f3b3ac46df77f7eaa35a4c9915b60.json.gz
https://www.odu.edu/apply,13,83,70,timemap_185.json.gz,timemap_dde8c2a4a6721a3d087f702f3b0eef25.json.gz
https://www.odu.edu/about/visitors/coastal-virginia,37,175,138,timemap_186.json.gz,timemap_c8d9b3f649048111efa16d01cbba2e6b.json.gz
https://www.odu.edu/graduateschool,298,306,8,timemap_187.json.gz,timemap_719e67d9c079698db664323864066714.json.gz
https://www.odu.edu/about/odu-publications/monarch-magazine,27,198,171,timemap_188.json.gz,timemap_8a4111f18e20478ace70d214aa3e37c6.json.gz
https://www.odu.edu/eng,36,246,210,timemap_189.json.gz,timemap_0c002ea6126a3ffc2b668265f594628b.json.gz
https://policies.risd.edu/,19,169,150,timemap_19.json.gz,timemap_a29da8fd09d3970dd2fc16b1c769f11b.json.gz
https://www.odu.edu/cds,39,186,147,timemap_190.json.gz,timemap_8ae5311c674ca0eb7c972ca5adeffb47.json.gz
https://www.odu.edu/partnerships/community/programs/upwardbound,24,89,65,timemap_191.json.gz,timemap_f8f7e917fe70dc39eb1dcbbdb222abdc.json.gz
https://www.odu.edu/al/resources/undergraduate,19,67,48,timemap_192.json.gz,timemap_aba28deae09f1483a2b3a81135ab45ee.json.gz
https://www.odu.edu/success/academic/tutoring,28,105,77,timemap_193.json.gz,timemap_710d18c655d241c61d36f2c6b7921693.json.gz
https://www.odu.edu/partnerships/military,75,87,12,timemap_194.json.gz,timemap_03b9e8a6ba225c6720a11f0ba2a22a3b.json.gz
https://www.odu.edu/oir,30,181,151,timemap_195.json.gz,timemap_3ac6cb5edbed898516d4a54c7af9e22d.json.gz
https://www.odu.edu/housing,25,134,109,timemap_196.json.gz,timemap_ff825663428d986bc4ad8b7e1831756a.json.gz
